Orthogroup	Duplications (all)	Duplications (50% support)
OG0000317	1	1
OG0000318	2	2
OG0000319	1	1
OG0000320	1	1
OG0000321	1	1
OG0000322	2	2
OG0000323	4	4
OG0000324	4	4
OG0000325	4	2
OG0000326	4	4
OG0000327	2	2
OG0000328	4	4
OG0000329	1	0
OG0000330	3	3
OG0000331	2	2
OG0000332	2	2
OG0000333	2	2
OG0000334	2	2
OG0000335	6	6
OG0000336	6	6
OG0000337	4	4
OG0000338	2	2
OG0000339	1	1
OG0000340	2	2
OG0000341	4	4
OG0000342	1	1
OG0000343	3	3
OG0000344	2	2
OG0000345	3	3
OG0000346	4	4
OG0000347	2	1
OG0000348	2	2
OG0000349	1	1
OG0000350	2	0
OG0000351	1	1
OG0000352	4	4
OG0000353	3	3
OG0000354	3	3
OG0000355	3	3
OG0000356	1	1
OG0000357	2	2
OG0000358	2	2
OG0000359	5	5
OG0000360	3	2
OG0000361	2	1
OG0000362	2	2
OG0000363	1	1
OG0000364	2	2
OG0000365	1	1
OG0000366	2	1
OG0000367	3	3
OG0000368	1	0
OG0000369	1	0
OG0000370	2	2
OG0000371	1	1
OG0000372	1	1
OG0000373	1	1
OG0000374	1	1
OG0000375	2	2
OG0000376	2	2
OG0000377	3	3
OG0000378	2	1
OG0000379	3	3
OG0000380	3	3
OG0000381	2	0
OG0000382	2	2
OG0000383	3	3
OG0000384	3	3
OG0000385	2	1
OG0000386	2	2
OG0000387	2	2
OG0000388	2	1
OG0000389	1	0
OG0000390	2	2
OG0000391	2	2
OG0000392	1	1
OG0000393	3	3
OG0000394	2	2
OG0000395	2	2
OG0000396	1	0
OG0000397	2	2
OG0000398	3	3
OG0000399	3	3
OG0000400	2	1
OG0000401	2	2
OG0000402	4	4
OG0000403	4	4
OG0000404	2	2
OG0000405	3	2
OG0000406	4	4
OG0000407	3	1
OG0000408	7	7
OG0000409	4	4
OG0000410	6	6
OG0000411	4	4
OG0000412	5	5
OG0000413	4	4
OG0000414	6	6
OG0000415	1	1
OG0000416	4	4
OG0000417	4	4
OG0000418	7	7
OG0000419	6	6
OG0000420	5	3
OG0000421	7	7
OG0000422	7	7
OG0000423	7	7
OG0000424	7	7
OG0000425	7	7
OG0000426	2	2
OG0000427	1	1
OG0000428	1	1
OG0000429	6	6
OG0000430	1	1
OG0000431	2	2
OG0000432	1	1
OG0000433	1	1
