,gene_id,database,kegg_id
256,XNR_RS01250,KEGG_ko,-
257,XNR_RS01255,KEGG_ko,-
258,XNR_RS01260,KEGG_ko,-
259,XNR_RS31020,KEGG_ko,-
260,XNR_RS01270,KEGG_ko,-
261,XNR_RS01275,KEGG_ko,-
263,XNR_RS29515,KEGG_ko,-
264,XNR_RS01290,KEGG_ko,-
266,XNR_RS01300,KEGG_ko,-
270,XNR_RS01320,KEGG_ko,-
272,XNR_RS01330,KEGG_ko,-
276,XNR_RS01350,KEGG_ko,-
278,XNR_RS01360,KEGG_ko,-
279,XNR_RS01365,KEGG_ko,-
282,XNR_RS01380,KEGG_ko,-
283,XNR_RS01385,KEGG_ko,-
284,XNR_RS01390,KEGG_ko,-
285,XNR_RS01395,KEGG_ko,-
286,XNR_RS01400,KEGG_ko,-
289,XNR_RS01415,KEGG_ko,-
290,XNR_RS01420,KEGG_ko,-
291,XNR_RS01425,KEGG_ko,-
292,XNR_RS01430,KEGG_ko,-
293,XNR_RS01435,KEGG_ko,-
294,XNR_RS01440,KEGG_ko,-
298,XNR_RS01460,KEGG_ko,-
306,XNR_RS01495,KEGG_ko,-
308,XNR_RS01505,KEGG_ko,-
309,XNR_RS01510,KEGG_ko,-
314,XNR_RS01535,KEGG_ko,-
315,XNR_RS01540,KEGG_ko,-
320,XNR_RS01565,KEGG_ko,-
321,XNR_RS01570,KEGG_ko,-
323,XNR_RS01580,KEGG_ko,-
324,XNR_RS01585,KEGG_ko,-
325,XNR_RS01590,KEGG_ko,-
326,XNR_RS31505,KEGG_ko,-
328,XNR_RS01600,KEGG_ko,-
337,XNR_RS30720,KEGG_ko,-
338,XNR_RS01640,KEGG_ko,-
339,XNR_RS01645,KEGG_ko,-
341,XNR_RS01655,KEGG_ko,-
342,XNR_RS01660,KEGG_ko,-
343,XNR_RS01665,KEGG_ko,-
344,XNR_RS01670,KEGG_ko,-
345,XNR_RS01675,KEGG_ko,-
346,XNR_RS01680,KEGG_ko,-
347,XNR_RS01685,KEGG_ko,-
349,XNR_RS01695,KEGG_ko,-
351,XNR_RS01705,KEGG_ko,-
352,XNR_RS01710,KEGG_ko,-
353,XNR_RS01715,KEGG_ko,-
354,XNR_RS01720,KEGG_ko,-
356,XNR_RS01730,KEGG_ko,-
357,XNR_RS01735,KEGG_ko,-
358,XNR_RS01740,KEGG_ko,-
359,XNR_RS01745,KEGG_ko,-
362,XNR_RS01760,KEGG_ko,-
363,XNR_RS01765,KEGG_ko,-
364,XNR_RS01770,KEGG_ko,-
365,XNR_RS01775,KEGG_ko,-
367,XNR_RS01785,KEGG_ko,-
372,XNR_RS01805,KEGG_ko,-
375,XNR_RS01820,KEGG_ko,-
382,XNR_RS01850,KEGG_ko,-
383,XNR_RS01855,KEGG_ko,-
385,XNR_RS01870,KEGG_ko,-
386,XNR_RS01880,KEGG_ko,-
387,XNR_RS01885,KEGG_ko,-
388,XNR_RS01890,KEGG_ko,-
390,XNR_RS01900,KEGG_ko,-
394,XNR_RS01920,KEGG_ko,-
395,XNR_RS01925,KEGG_ko,-
396,XNR_RS01930,KEGG_ko,-
400,XNR_RS01950,KEGG_ko,-
402,XNR_RS30725,KEGG_ko,-
406,XNR_RS01975,KEGG_ko,-
409,XNR_RS01990,KEGG_ko,-
410,XNR_RS01995,KEGG_ko,-
411,XNR_RS02000,KEGG_ko,-
414,XNR_RS02015,KEGG_ko,-
415,XNR_RS02020,KEGG_ko,-
416,XNR_RS02025,KEGG_ko,-
422,XNR_RS02055,KEGG_ko,-
423,XNR_RS02060,KEGG_ko,-
424,XNR_RS02065,KEGG_ko,-
425,XNR_RS02070,KEGG_ko,-
426,XNR_RS02075,KEGG_ko,-
427,XNR_RS02080,KEGG_ko,-
429,XNR_RS31035,KEGG_ko,-
431,XNR_RS02095,KEGG_ko,-
