gene_id,BGC,Imodulon
XNR_RS00010,1.0,DNA Damage
XNR_RS00015,1.0,
XNR_RS00020,1.0,
XNR_RS00025,1.0,
XNR_RS00030,1.0,DNA Damage
XNR_RS00035,1.0,
XNR_RS00040,1.0,
XNR_RS00045,1.0,
XNR_RS00050,1.0,
XNR_RS00055,1.0,
XNR_RS00060,1.0,Antimycin
XNR_RS00065,1.0,Antimycin
XNR_RS00070,1.0,
XNR_RS00075,1.0,BGC-General
XNR_RS00075,1.0,Antimycin
XNR_RS00075,1.0,UC-13
XNR_RS00080,1.0,BGC-General
XNR_RS00080,1.0,Antimycin
XNR_RS00080,1.0,UC-13
XNR_RS00085,1.0,BGC-General
XNR_RS00085,1.0,Antimycin
XNR_RS00090,1.0,BGC-General
XNR_RS00090,1.0,Antimycin
XNR_RS00090,1.0,UC-12
XNR_RS00090,1.0,UC-14
XNR_RS31480,1.0,BGC-General
XNR_RS31480,1.0,Antimycin
XNR_RS00100,1.0,Antimycin
XNR_RS31485,1.0,Antimycin
XNR_RS00110,1.0,Antimycin
XNR_RS31490,1.0,Antimycin
XNR_RS00115,1.0,
XNR_RS00120,1.0,
XNR_RS00125,1.0,BGC-General
XNR_RS00125,1.0,Sugar-2
XNR_RS00130,1.0,Fructose
XNR_RS00135,1.0,Fructose
XNR_RS00140,1.0,Fructose
XNR_RS00145,1.0,Fructose
XNR_RS00150,1.0,Fructose
XNR_RS00155,1.0,
XNR_RS00160,1.0,
XNR_RS30400,1.0,UC-10
XNR_RS00165,1.0,
XNR_RS00170,1.0,
XNR_RS00175,1.0,
XNR_RS00180,1.0,
XNR_RS31495,1.0,UC-12
XNR_RS00185,1.0,
XNR_RS00190,1.0,
XNR_RS00195,1.0,
XNR_RS00200,1.0,UC-4
XNR_RS00205,1.0,UC-4
XNR_RS00210,1.0,
XNR_RS00920,2.0,UC-8
XNR_RS00925,2.0,Cyclofaulknamycin-2
XNR_RS00930,2.0,
XNR_RS00935,2.0,
XNR_RS00940,2.0,NRPS-1
