Experiment,sample_id,strain,benchling_strain_id,project,condition,notes,run,type,year,sequencing_run,LibraryLayout,Platform,R1,R2
29-Asparagine,29-Asparagine,J1074,,azenta,Asparagine,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/29_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/29_R2_001.fastq.gz
30-Asparagine,30-Asparagine,J1074,,azenta,Asparagine,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/30_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/30_R2_001.fastq.gz
138-Dcellobiose,138-Dcellobiose,J1074,,azenta,D-cellobiose,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/138_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/138_R2_001.fastq.gz
140-Dcellobiose,140-Dcellobiose,J1074,,azenta,D-cellobiose,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/140_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/140_R2_001.fastq.gz
149-LAlanine,149-LAlanine,J1074,,azenta,L-Alanine,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/149_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/149_R2_001.fastq.gz
150-LAlanine,150-LAlanine,J1074,,azenta,L-Alanine,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/150_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/150_R2_001.fastq.gz
155-Glucose,155-Glucose,J1074,,azenta,Glucose,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/155_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/155_R2_001.fastq.gz
156-Glucose,156-Glucose,J1074,,azenta,Glucose,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/156_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/156_R2_001.fastq.gz
159-Xylose,159-Xylose,J1074,,azenta,Xylose,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/159_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/159_R2_001.fastq.gz
160-Xylose,160-Xylose,J1074,,azenta,Xylose,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/160_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/160_R2_001.fastq.gz
161-ISP21,161-ISP21,J1074,,azenta,ISP2 1% NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/161_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/161_R2_001.fastq.gz
162-ISP21,162-ISP21,J1074,,azenta,ISP2 1% NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/162_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/162_R2_001.fastq.gz
165-ISP22,165-ISP22,J1074,,azenta,ISP2 2% NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/165_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/165_R2_001.fastq.gz
167-ISP22,167-ISP22,J1074,,azenta,ISP2 2% NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/167_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/167_R2_001.fastq.gz
170-ISP23,170-ISP23,J1074,,azenta,ISP2 3% NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/170_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/170_R2_001.fastq.gz
