Experiment,sample_id,strain,benchling_strain_id,project,condition,notes,run,type,year,sequencing_run,LibraryLayout,Platform,R1,R2
171-ISP23,171-ISP23,J1074,,azenta,ISP2 3% NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/171_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/171_R2_001.fastq.gz
173-MSG1,173-MSG1,J1074,,azenta,MSG 1%NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/173_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/173_R2_001.fastq.gz
174-MSG1,174-MSG1,J1074,,azenta,MSG 1%NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/174_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/174_R2_001.fastq.gz
179-MSG2,179-MSG2,J1074,,azenta,MSG 2%NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/179_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/179_R2_001.fastq.gz
180-MSG2,180-MSG2,J1074,,azenta,MSG 2%NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/180_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/180_R2_001.fastq.gz
182-MSG3,182-MSG3,J1074,,azenta,MSG 3% NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/182_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/182_R2_001.fastq.gz
184-MSG3,184-MSG3,J1074,,azenta,MSG 3% NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/184_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/184_R2_001.fastq.gz
205-Tween20,205-Tween20,J1074,,azenta,Tween 20,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/205_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/205_R2_001.fastq.gz
207-Tween20,207-Tween20,J1074,,azenta,Tween 20,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/207_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/207_R2_001.fastq.gz
210-Lthreonine,210-Lthreonine,J1074,,azenta,L-threonine,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/210_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/210_R2_001.fastq.gz
211-Lthreonine,211-Lthreonine,J1074,,azenta,L-threonine,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/211_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/211_R2_001.fastq.gz
241-Tween80,241-Tween80,J1074,,azenta,Tween 80,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/241_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/241_R2_001.fastq.gz
242-Tween80,242-Tween80,J1074,,azenta,Tween 80,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/242_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/242_R2_001.fastq.gz
253-Fructose,253-Fructose,J1074,,azenta,Fructose,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/253_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/253_R2_001.fastq.gz
255-Fructose,255-Fructose,J1074,,azenta,Fructose,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/255_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/255_R2_001.fastq.gz
282-Sucrose,282-Sucrose,J1074,,azenta,Sucrose,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/282_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/282_R2_001.fastq.gz
283-Sucrose,283-Sucrose,J1074,,azenta,Sucrose,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/283_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/283_R2_001.fastq.gz
289-Starch,289-Starch,J1074,,azenta,Starch,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/289_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/289_R2_001.fastq.gz
290-Starch,290-Starch,J1074,,azenta,Starch,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/290_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/290_R2_001.fastq.gz
298-MSG20C,298-MSG20C,J1074,,azenta,MSG 20C,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/298_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/298_R2_001.fastq.gz
299-MSG20C,299-MSG20C,J1074,,azenta,MSG 20C,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/299_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/299_R2_001.fastq.gz
301-MSG5,301-MSG5,J1074,,azenta,MSG 5% NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/301_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/301_R2_001.fastq.gz
303-MSG5,303-MSG5,J1074,,azenta,MSG 5% NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/303_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/303_R2_001.fastq.gz
325-MSG7,325-MSG7,J1074,,azenta,MSG 7% NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/325_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/325_R2_001.fastq.gz
326-MSG7,326-MSG7,J1074,,azenta,MSG 7% NaCl,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/326_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/326_R2_001.fastq.gz
329-MSGpH6,329-MSGpH6,J1074,,azenta,MSG pH6,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/329_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/329_R2_001.fastq.gz
330-MSGpH6,330-MSGpH6,J1074,,azenta,MSG pH6,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/330_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/330_R2_001.fastq.gz
333-DNPM,333-DNPM,J1074,,azenta,DNPM,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/333_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/333_R2_001.fastq.gz
334-DNPM,334-DNPM,J1074,,azenta,DNPM,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/334_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/334_R2_001.fastq.gz
353-24hISP2,353-24hISP2,J1074,,azenta,24h ISP2,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/353_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/353_R2_001.fastq.gz
354-24hISP2,354-24hISP2,J1074,,azenta,24h ISP2,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/354_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/354_R2_001.fastq.gz
358-24hMSG,358-24hMSG,J1074,,azenta,24h MSG,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/358_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/358_R2_001.fastq.gz
359-24hMSG,359-24hMSG,J1074,,azenta,24h MSG,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/359_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/359_R2_001.fastq.gz
360-24hMSG,360-24hMSG,J1074,,azenta,24h MSG,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/360_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/360_R2_001.fastq.gz
365-48hISP2,365-48hISP2,J1074,,azenta,48h ISP2,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/365_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/365_R2_001.fastq.gz
366-48hISP2,366-48hISP2,J1074,,azenta,48h ISP2,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/366_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/366_R2_001.fastq.gz
370-48hMSG,370-48hMSG,J1074,,azenta,48h MSG,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/370_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/370_R2_001.fastq.gz
371-48hMSG,371-48hMSG,J1074,,azenta,48h MSG,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/371_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/371_R2_001.fastq.gz
372-48hMSG,372-48hMSG,J1074,,azenta,48h MSG,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/372_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/372_R2_001.fastq.gz
382-72hMSG,382-72hMSG,J1074,,azenta,72h MSG,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/382_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/382_R2_001.fastq.gz
383-72hMSG,383-72hMSG,J1074,,azenta,72h MSG,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/383_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/383_R2_001.fastq.gz
384-72hMSG,384-72hMSG,J1074,,azenta,72h MSG,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/384_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/384_R2_001.fastq.gz
394-96hMSG,394-96hMSG,J1074,,azenta,96h MSG,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/394_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/394_R2_001.fastq.gz
396-96hMSG,396-96hMSG,J1074,,azenta,96h MSG,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/396_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/396_R2_001.fastq.gz
459-Lhistidine,459-Lhistidine,J1074,,azenta,L-histidine,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/459_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/459_R2_001.fastq.gz
460-Lhistidine,460-Lhistidine,J1074,,azenta,L-histidine,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/460_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/460_R2_001.fastq.gz
Control1-MSG,Control1-MSG,J1074,,azenta,control,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/Control-1_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/Control-1_R2_001.fastq.gz
Control2-MSG,Control2-MSG,J1074,,azenta,control,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_03,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_run_03/Control-2_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_run_03/Control-2_R2_001.fastq.gz
L-galactose-1,L-galactose-1,J1074,,azenta,L-galactose,"Samples were mistakenly labelled ""L-glutamate"". L-galactose is the carbon source.",,in-house,2023,run_01_02__merged_azenta,PAIRED,ILLUMINA,/home/nimat/reads/streptsd/ready/merged_L-glutamate-1_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/merged_L-glutamate-1_R2_001.fastq.gz
L-galactose-2,L-galactose-2,J1074,,azenta,L-galactose,"Samples were mistakenly labelled ""L-glutamate"". L-galactose is the carbon source.",,in-house,2023,run_01_02__merged_azenta,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/merged_L-glutamate-2_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/merged_L-glutamate-2_R2_001.fastq.gz
MSG-1A,MSG-1A,J1074,,azenta,Monosodium glutamate,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_01_02__merged_azenta,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/merged_MSG-1A_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/merged_MSG-1A_R2_001.fastq.gz
MSG-1B,MSG-1B,J1074,,azenta,Monosodium glutamate,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_01_02__merged_azenta,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/merged_MSG-1B_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/merged_MSG-1B_R2_001.fastq.gz
MSG-2A,MSG-2A,J1074,,azenta,Monosodium glutamate,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_01_02__merged_azenta,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/merged_MSG-2A_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/merged_MSG-2A_R2_001.fastq.gz
MSG-2B,MSG-2B,J1074,,azenta,Monosodium glutamate,sample_id: (carbon source)-(biological replicate id)(technical replicate id),,in-house,2023,run_01_02__merged_azenta,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/merged_MSG-2B_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/merged_MSG-2B_R2_001.fastq.gz
575-Mannose,575-Mannose,J1074,,azenta,Mannose,,,in-house,2023,rerun,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_aug2023/575_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_aug2023/575_R2_001.fastq.gz
576-Mannose,576-Mannose,J1074,,azenta,Mannose,,,in-house,2023,rerun,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_aug2023/576_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_aug2023/576_R2_001.fastq.gz
579-ISP220C,579-ISP220C,J1074,,azenta,ISP2 20C,,,in-house,2023,rerun,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_aug2023/579_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_aug2023/579_R2_001.fastq.gz
580-ISP220C,580-ISP220C,J1074,,azenta,ISP2 20C,,,in-house,2023,rerun,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_aug2023/580_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_aug2023/580_R2_001.fastq.gz
581-MSGpH5,581-MSGpH5,J1074,,azenta,MSG pH 5,,,in-house,2023,rerun,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_aug2023/581_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_aug2023/581_R2_001.fastq.gz
583-MSGpH5,583-MSGpH5,J1074,,azenta,MSG pH 5,,,in-house,2023,rerun,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_aug2023/583_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_aug2023/583_R2_001.fastq.gz
585-ISP2pH5,585-ISP2pH5,J1074,,azenta,ISP2 pH 5,,,in-house,2023,rerun,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_aug2023/585_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_aug2023/585_R2_001.fastq.gz
586-ISP2pH5,586-ISP2pH5,J1074,,azenta,ISP2 pH 5,,,in-house,2023,rerun,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_aug2023/586_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_aug2023/586_R2_001.fastq.gz
587-MSGpH9,587-MSGpH9,J1074,,azenta,MSG pH 9,,,in-house,2023,rerun,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_aug2023/587_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_aug2023/587_R2_001.fastq.gz
589-MSGpH9,589-MSGpH9,J1074,,azenta,MSG pH 9,,,in-house,2023,rerun,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_aug2023/589_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_aug2023/589_R2_001.fastq.gz
590-ISP2pH9,590-ISP2pH9,J1074,,azenta,ISP2 pH 9,,,in-house,2023,rerun,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_aug2023/590_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_aug2023/590_R2_001.fastq.gz
591-ISP2pH9,591-ISP2pH9,J1074,,azenta,ISP2 pH 9,,,in-house,2023,rerun,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_aug2023/591_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_aug2023/591_R2_001.fastq.gz
594-ISP25NaCl,594-ISP25NaCl,J1074,,azenta,ISP2 5% NaCl,,,in-house,2023,rerun,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_aug2023/594_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_aug2023/594_R2_001.fastq.gz
595-ISP25NaCl,595-ISP25NaCl,J1074,,azenta,ISP2 5% NaCl,,,in-house,2023,rerun,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_aug2023/595_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_aug2023/595_R2_001.fastq.gz
596-MSG5NaCl,596-MSG5NaCl,J1074,,azenta,MSG 5% NaCl,,,in-house,2023,rerun,PAIRED,ILLUMINA,/home/nilmat/reads/streptsd/ready/azenta_aug2023/596_R1_001.fastq.gz,/home/nilmat/reads/streptsd/ready/azenta_aug2023/596_R2_001.fastq.gz
