__mclCluster,name,Function,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,species,Stress,TopologicalCoefficient
83,ecol_Crp-2,Carbon Metabolism,4.572992701,0.001236941,0.21867518,0,3,8,FALSE,7.666666667,0,3,0,0.951716315,FALSE,0,ecol_Crp-2,Eco,1246,0.37037037
84,salb_Xylose,Carbon Metabolism,4.109489051,0.007718528,0.243339254,0.166666667,9,8,FALSE,7.555555556,0,9,0,0.957979878,FALSE,0,salb_Xylose,Sal,9708,0.205882353
84,ecol_glrR KO,Carbon Metabolism,4.363138686,8.86E-04,0.229192806,0,2,8,FALSE,8,0,2,0,0.95455218,FALSE,0,ecol_glrR KO,Eco,1128,0.5
85,mtub_Nicotinate Metabolism,Carbon Metabolism,1,0,1,0,1,1,FALSE,1,0,1,0,1,FALSE,0,mtub_Nicotinate Metabolism,Mtu,0,0
85,sac_single_gene_4,Carbon Metabolism,1,0,1,0,1,1,FALSE,1,0,1,0,1,FALSE,0,sac_single_gene_4,sac,0,0
86,sen_unchar-6,Carbon Metabolism,5.175182482,0,0.193229901,0,1,8,FALSE,3,0,1,0,0.943578615,FALSE,0,sen_unchar-6,Sen,0,0
86,ecol_Magnesium,Carbon Metabolism,4.177007299,0.003864079,0.239405854,0,3,7,FALSE,6,0,3,0,0.957067469,FALSE,0,ecol_Magnesium,Eco,5064,0.333333333
87,sen_unchar-4,Carbon Metabolism,1,0,1,0,1,1,FALSE,1,0,1,0,1,FALSE,0,sen_unchar-4,Sen,0,0
87,ecol_UC-1,Carbon Metabolism,1,0,1,0,1,1,FALSE,1,0,1,0,1,FALSE,0,ecol_UC-1,Eco,0,0
88,ecol_tpiA KO,Carbon Metabolism,4.554744526,0,0.219551282,0,1,8,FALSE,4,0,1,0,0.951962912,FALSE,0,ecol_tpiA KO,Eco,0,0
88,pae_Uncharacterized-1,Carbon Metabolism,3.556569343,0.006164903,0.281169831,0.166666667,4,7,FALSE,26,0,4,0,0.965451766,FALSE,0,pae_Uncharacterized-1,Pae,6138,0.286516854
89,mtub_Rv0576,Carbon Metabolism,3.071167883,0.060544079,0.325609031,0.112554113,22,6,FALSE,14.5,0,22,0,0.972011245,FALSE,0,mtub_Rv0576,Mtu,105114,0.081353306
89,pae_Singlet-7,Carbon Metabolism,4.069343066,0,0.24573991,0,1,7,FALSE,22,0,1,0,0.958522391,FALSE,0,pae_Singlet-7,Pae,0,0
90,pae_Uncharacterized-10,Carbon Metabolism,6.461678832,0,0.154758543,0,1,10,FALSE,4,0,1,0,0.926193529,FALSE,0,pae_Uncharacterized-10,Pae,0,0
90,sac_ArnRAB,Carbon Metabolism,5.46350365,0.004765186,0.183032732,0.166666667,4,9,FALSE,3,0,4,0,0.939682383,FALSE,0,sac_ArnRAB,sac,5426,0.357142857
91,sen_birA,Carbon Metabolism,4.541970803,6.75E-04,0.220168742,0,2,8,FALSE,7.5,0,2,0,0.95213553,FALSE,0,sen_birA,Sen,862,0.5
91,ecol_Biotin,Carbon Metabolism,4.671532847,0.002890745,0.2140625,0,3,8,FALSE,6.333333333,0,3,0,0.950384691,FALSE,0,ecol_Biotin,Eco,3146,0.333333333
92,sen_unchar-2,Carbon Metabolism,5.374087591,0.003649635,0.186078098,0,2,9,FALSE,3,0,2,0,0.940890708,FALSE,0,sen_unchar-2,Sen,6022,0.5
92,pae_PA1226,Carbon Metabolism,6.372262774,0,0.156930126,0,1,10,FALSE,2,0,1,0,0.927401854,FALSE,0,pae_PA1226,Pae,0,0
93,sen_fra,Carbon Metabolism,5.009124088,0,0.199635701,0,1,8,FALSE,4,0,1,0,0.945822647,FALSE,0,sen_fra,Sen,0,0
93,pae_PtxS,Carbon Metabolism,4.010948905,0.005246734,0.249317561,0.166666667,4,7,FALSE,8.25,0,4,0,0.959311501,FALSE,0,pae_PtxS,Pae,5718,0.287037037
94,sac_niacin-transport,Carbon Metabolism,4.627737226,1.20E-04,0.216088328,0,2,7,FALSE,4,0,2,0,0.950976524,FALSE,0,sac_niacin-transport,sac,198,0.5
94,sac_Riboflavin,Carbon Metabolism,4.339416058,0.001340901,0.230445753,0,3,7,FALSE,4,0,3,0,0.954872756,FALSE,0,sac_Riboflavin,sac,1552,0.333333333
95,sen_lrp,Carbon Metabolism,3.744525547,0.00620406,0.26705653,0.285714286,7,7,FALSE,11.85714286,0,7,0,0.962911817,FALSE,0,sen_lrp,Sen,10650,0.199507389
95,ecol_Lrp,Carbon Metabolism,3.762773723,0.005786932,0.265761397,0.285714286,8,7,FALSE,13,0,8,0,0.96266522,FALSE,0,ecol_Lrp,Eco,14490,0.216101695
96,mtub_Salicylate Induced,Carbon Metabolism,4.759124088,8.32E-04,0.210122699,0,2,8,FALSE,5,0,2,0,0.949201026,FALSE,0,mtub_Salicylate Induced,Mtu,776,0.5
96,pae_Uncharacterized-8,Carbon Metabolism,4.25729927,0.003565823,0.234890699,0,3,8,FALSE,6,0,3,0,0.955982442,FALSE,0,pae_Uncharacterized-8,Pae,5566,0.333333333
97,ecol_Phage Shock,Carbon Metabolism,1,0,1,0,1,1,FALSE,1,0,1,0,1,FALSE,0,ecol_Phage Shock,Eco,0,0
97,sen_psp,Carbon Metabolism,1,0,1,0,1,1,FALSE,1,0,1,0,1,FALSE,0,sen_psp,Sen,0,0
98,sen_cytR,Carbon Metabolism,4.645985401,0,0.215239592,0,1,8,FALSE,2,0,1,0,0.950729927,FALSE,0,sen_cytR,Sen,0,0
98,ecol_Nucleoside,Carbon Metabolism,3.647810219,0.003649635,0.274137069,0,2,7,FALSE,37.5,0,2,0,0.964218781,FALSE,0,ecol_Nucleoside,Eco,3404,0.5
99,ecol_Tryptophan,Carbon Metabolism,4.759124088,2.98E-05,0.210122699,0,2,8,FALSE,4,0,2,0,0.949201026,FALSE,0,ecol_Tryptophan,Eco,78,0.5
99,sen_Macrophage,Carbon Metabolism,3.976277372,0.002531645,0.25149151,0.166666667,4,7,FALSE,12,0,4,0,0.959780036,FALSE,0,sen_Macrophage,Sen,3844,0.328571429
100,pae_TagR1,Carbon Metabolism,1,0,1,0,1,1,FALSE,1,0,1,0,1,FALSE,0,pae_TagR1,Pae,0,0
100,pae_Sfa2,Carbon Metabolism,1,0,1,0,1,1,FALSE,1,0,1,0,1,FALSE,0,pae_Sfa2,Pae,0,0
101,ecol_Glycine,Carbon Metabolism,4.26459854,0.003649635,0.234488661,0,2,7,FALSE,6,0,2,0,0.955883804,FALSE,0,ecol_Glycine,Eco,4072,0.5
101,pae_GcsR,Carbon Metabolism,5.262773723,0,0.19001387,0,1,8,FALSE,2,0,1,0,0.94239495,FALSE,0,pae_GcsR,Pae,0,0
102,salb_UC-12,Carbon Metabolism,5.357664234,0,0.186648501,0,1,9,FALSE,6,0,1,0,0.941112645,FALSE,0,salb_UC-12,Sal,0,0
102,ecol_Ferric Citrate,Carbon Metabolism,4.359489051,0.006183647,0.22938468,0.2,6,8,FALSE,7,0,6,0,0.954601499,FALSE,0,ecol_Ferric Citrate,Eco,8760,0.24691358
103,sen_metJ,Carbon Metabolism,5.284671533,0.0015552,0.189226519,0,2,9,FALSE,5.5,0,2,0,0.942099033,FALSE,0,sen_metJ,Sen,2464,0.5
103,ecol_Methionine,Carbon Metabolism,5.795620438,4.38E-04,0.172544081,0,2,9,FALSE,3,0,2,0,0.935194318,FALSE,0,ecol_Methionine,Eco,468,0.5
104,ecol_SSW SNPs,Carbon Metabolism,4.114963504,1.55E-04,0.243015521,0,2,7,FALSE,13,0,2,0,0.957905899,FALSE,0,ecol_SSW SNPs,Eco,120,0.5
