	Sample Pair	Pearson R
0	('Control1-MSG', 'Control2-MSG')	-1.0
1	('L-galactose-1', 'L-galactose-2')	0.9884707562303046
2	('MSG-1A', 'MSG-1B')	0.9886001962576982
3	('MSG-1A', 'MSG-2A')	0.9755953402514536
4	('MSG-1A', 'MSG-2B')	0.975997674926503
5	('MSG-1B', 'MSG-2A')	0.9829406098131336
6	('MSG-1B', 'MSG-2B')	0.9855000986247306
7	('MSG-2A', 'MSG-2B')	0.9851332875959766
8	('29-Asparagine', '30-Asparagine')	0.8620399510621776
9	('138-Dcellobiose', '140-Dcellobiose')	0.981940843542209
10	('333-DNPM', '334-DNPM')	0.977327325152366
11	('253-Fructose', '255-Fructose')	0.8910148543771395
12	('155-Glucose', '156-Glucose')	0.9761254929887563
13	('650-Glycerol', '651-Glycerol')	0.9827746957409497
14	('149-LAlanine', '150-LAlanine')	0.9690514344280461
15	('459-Lhistidine', '460-Lhistidine')	0.9799333946683965
16	('210-Lthreonine', '211-Lthreonine')	0.9892638137658574
17	('575-Mannose', '576-Mannose')	0.9814079460364621
18	('644-Proline', '646-Proline')	0.9949181709312135
19	('602-Ribose', '604-Ribose')	0.9931483355598675
20	('289-Starch', '290-Starch')	0.9931683467195478
21	('282-Sucrose', '283-Sucrose')	0.9517619017176571
22	('205-Tween20', '207-Tween20')	0.9566426407446816
23	('241-Tween80', '242-Tween80')	0.985077824836708
24	('159-Xylose', '160-Xylose')	0.9652227782315487
25	('590-ISP2pH9', '591-ISP2pH9')	0.990499638067701
26	('587-MSGpH9', '589-MSGpH9')	0.9850395091835382
27	('329-MSGpH6', '330-MSGpH6')	0.9454545046962443
28	('165-ISP22', '167-ISP22')	0.8706200289832818
29	('170-ISP23', '171-ISP23')	0.9575069937602344
30	('594-ISP25NaCl', '595-ISP25NaCl')	0.9918672522838051
31	('599-ISP27NaCl', '601-ISP27NaCl')	0.8614559094415513
32	('173-MSG1', '174-MSG1')	0.8562849381599961
33	('179-MSG2', '180-MSG2')	0.9437448312499791
34	('182-MSG3', '184-MSG3')	0.9631328397739299
