,pseudogene,heat-stress,SoxL2N,fatty-acid-related,Riboflavin,niacin-transport,cold-stress,carbon-fixation,Fe-S-lipoylation,HMG-CoA,Purine,XylR-SoxM,YtrA,LysM,Phenylacetate,single_gene_1,single_gene_2,translation-1,UV-tfb3,Arginine,Pyroglutamate,translation-2,unchar-1,sulfur-assimilation,FadR-KO,Cobalamin,4-HPA,ArnRAB,single_gene_3,FadR,SoxLABCD,TCA-BCAA,UV-related,DARC,Replication,translation-related,Quinolinate,aromatic-degradation,Ammonium-Uptake,carotenoid,single_gene_4,Thiamin,unchar-3,single_gene_5,Gly-Ser-Thr
SACI_RS03760,-0.013894881,-0.015588767,-0.003945203,-0.001864158,-0.004941174,0.001604419,-0.008501358,-0.022823024,-0.015893714,0.00695755,0.008730558,-0.012350166,-0.038517844,0.000534538,-0.008732709,-0.01464286,0.018255347,0.004214286,0.003686154,0.003773719,-0.00670958,0.001764828,0.000954099,-0.003970806,0.000763215,-0.015140871,-0.008109431,0.00024244,0.003630653,0.003224049,-0.006497059,-0.030723766,-0.02428952,-0.003467488,-0.008148576,0.012553315,-0.010362535,0.018624548,-0.004000594,-0.011823583,-0.004532828,-0.003695335,-0.000491517,-0.000373794,0.005459754
SACI_RS03765,0.002464631,0.013954401,0.003330352,-0.017947502,-0.010060979,-0.003859243,-0.002332051,-0.016072332,-0.001573876,-0.002654752,0.001779691,-0.001238838,-0.005478154,-0.007635854,-0.004728751,0.000840767,-0.007595628,-0.006186453,0.001813423,-0.000112228,0.010643984,0.015393847,-0.003148175,-0.010922629,-0.003780783,-0.004766614,-0.014010415,-0.001537582,-0.008329696,-0.016959643,-0.018300181,0.000903229,0.006477833,-0.008437624,8.50E-06,-0.019759296,-0.003051114,-0.002114978,0.006015455,-0.004194577,0.00213272,0.000694521,-0.015539066,0.008339448,0.006857221
SACI_RS03770,0.00668377,0.001399295,-0.010034671,-0.007846735,0.002493582,0.009375202,-0.013581008,-0.009776858,-0.007320382,0.003421299,-0.00290867,-0.003235987,-0.026187017,-0.009770137,-0.007784505,0.008469466,-0.01349342,-0.014603593,-0.004803704,0.005162374,0.004178421,0.014080699,0.005819694,-0.001303226,-0.003237537,0.001223061,-0.005715512,0.002289714,0.000387622,-0.000325032,-0.014315434,0.008209204,-0.018092784,0.00256327,-0.001392068,-0.01298659,-0.003938797,-0.003655907,0.000877442,-0.015615154,-0.007996954,0.000604729,0.001922389,0.006856934,0.002527069
SACI_RS03775,0.001493578,0.000988681,0.010127385,-0.016326527,-0.014504205,-0.017524868,0.00061037,-0.004443701,-0.006845854,0.001178095,0.00729059,-0.006831699,-0.025079758,0.015270142,0.007176528,0.004852637,0.020287186,-0.028716729,-0.016403748,0.000401707,-0.004278126,-0.008185681,-0.025962656,-0.007208593,0.011971422,-0.015150417,-0.010447691,-0.007995058,0.014953222,0.006960453,-0.00649797,0.00338936,-0.030340231,0.005297599,0.098866417,0.019278024,-0.046335571,0.003681526,0.00019689,0.021342691,0.002825033,-0.007413438,-0.030252719,-0.009132035,-0.008705573
SACI_RS03780,-0.017889413,0.006123159,-0.010659881,-0.001380728,-0.004296952,-0.014289163,-0.004327331,3.01E-05,0.008014275,0.01023051,-0.003857397,-0.004023031,-0.011543949,0.012602189,-0.001418224,-0.005680379,-0.006079733,-0.016345284,-0.00429255,-0.002492995,0.000490494,0.017680944,0.005303188,-0.00864705,-0.002294569,-0.003758514,-0.009456257,-0.004709352,-0.005874245,-0.005808092,0.006383842,0.006281623,-0.006225743,-0.00193717,-0.001090299,0.00494357,0.018305061,0.002278764,0.019394668,0.001220059,0.019199362,0.013209615,-0.001542116,0.009213137,0.012535008
SACI_RS03785,-0.005057378,0.0012616,-0.021622226,0.009584805,-0.006908384,-0.021806472,-0.001206341,-0.010660768,0.017959412,-0.017341699,-0.017814298,-0.020840759,0.003181948,-0.006883858,0.002645621,-0.009045926,-0.008321419,-0.004677207,0.004163244,-0.007008728,-0.001853005,0.016268454,0.007038126,-0.001969025,-0.000964909,-0.000370637,-0.010605408,-0.010098612,-0.006499379,-0.006170497,0.009200386,-0.003195006,-0.010536935,0.008166655,-0.004148613,0.003026125,-0.011238946,-0.013459556,0.01458059,0.007099725,0.011525008,0.004506792,-0.00761709,-0.002933603,0.008894108
SACI_RS03790,0.004865364,-0.008837212,-0.001186786,-0.014955504,-0.008400525,-0.001322649,-0.003792281,0.001291741,0.002314317,-0.003125168,-0.014297432,-0.01517063,0.000196398,0.00605383,0.008265266,0.011903711,-0.001750382,0.008116053,-0.006049682,-0.001944838,-0.005856174,0.004096774,0.002679049,0.006263861,-0.007639556,-0.003659889,0.005398027,-0.007462125,0.003789367,0.001578256,0.001020336,-0.000642945,0.000712283,0.000311566,-0.00647708,-0.004059447,-0.007181356,0.003280042,0.005712133,0.001615306,-0.017934959,-0.009635705,0.001791473,-0.001666161,0.006503015
SACI_RS03795,0.000735676,0.000345024,-0.012502685,-0.010127934,-0.002738733,-0.008938823,-0.0097289,0.002677543,-0.022701238,0.012205011,-0.010181372,-0.000504491,-0.037279777,-0.007726272,-0.00043023,-0.000120882,-0.018781028,0.009688118,-0.007463126,-0.011070771,-0.004344592,-0.003833262,0.011084713,-0.002983756,0.013030163,-0.006118096,-0.001499688,-0.005490453,0.010755321,-0.012390434,-0.008594156,-0.016123556,-0.003409455,-0.004044792,-0.001161366,-0.004118691,-0.010131585,-0.002188431,-0.000458127,-0.010794828,-0.009593858,-0.002579529,-0.011458668,0.000931361,-0.005720199
SACI_RS03800,-0.020976375,-0.002175787,-0.002503143,-0.015909385,0.006844178,0.003664358,0.013246926,0.006624819,-0.011610963,0.013669919,0.020737078,0.001036408,-0.010233205,-0.031259088,0.017773891,-0.0256844,-0.021047742,0.023773872,-0.013601152,-0.027705426,-0.019605589,-0.050328058,0.033686698,0.019758403,0.001832083,0.011907114,-0.001901316,-0.00135641,-0.009026202,-0.008216498,0.008152358,-0.0019721,0.027634554,-0.003534245,-0.009895234,0.012684182,0.02031549,-0.006482906,-0.008272716,-0.004302351,-0.016772305,-0.018975598,-0.02877723,0.021439237,0.003107134
SACI_RS03805,-0.009161656,0.005038409,0.011999919,-0.010578897,0.001354705,-0.012195158,-0.007246647,-0.003880666,-0.005983783,0.001638584,0.000208778,0.001410315,0.011311119,0.00585592,-0.003446441,-0.007099687,0.015586349,-0.006972251,-0.002139494,-0.00727574,-0.001446967,0.02165515,0.011720945,0.00143498,-0.004499211,0.006902703,0.006985051,-0.008414124,-0.007490586,-0.010003362,-0.010020771,-0.008588451,-0.010015452,-0.001860143,0.002721542,0.000406294,0.002913784,0.002412309,0.002007927,0.001176492,0.010894497,-0.000778647,-0.005964872,0.002849902,0.011608224
