Source,Target,Weight
ucpA,paaZ,0.3990492713286896
ucpA,caiA,0.40429618631617587
ucpA,dppF,0.25554842454225324
ucpA,caiD,0.41111564430403247
ucpA,uidR,0.34257233072893817
ucpA,cysA,0.23778528635927684
ucpA,asnC,0.4421379377463073
ucpA,caiC,0.4782099533636866
ucpA,hxpA,0.3390666975151606
ucpA,yadG,0.35657898236101976
ucpA,wbbK,0.30463634738858064
ucpA,dkgB,0.4728881783885913
ucpA,srmB,0.36746592200328876
ucpA,ugpE,0.22142712128968037
ucpA,yhjE,0.30588897210315197
ucpA,ugpA,0.22748399031901845
ucpA,copA,0.3411853776714576
ucpA,oppC,0.18335399182411696
ucpA,lgoD,0.32942242648988085
ucpA,rutD,0.2884409142421667
ucpA,cnoX,0.2638574581699517
ucpA,garR,0.2046940874391576
ucpA,nikB,0.17451940856460874
ucpA,aes,0.3400924307009125
ucpA,hisC,0.19429919854962363
ucpA,degQ,0.25468465028684023
ucpA,nanA,0.18433708086391073
ucpA,tauB,0.1850199765468074
ucpA,ispA,0.36641292775089007
ucpA,msbA,0.2579093197012923
ucpA,gloC,0.23527919301345038
ucpA,sufS,0.24181297978947328
ucpA,sucB,0.3041896267214721
ucpA,yafP,0.21601463296860232
ucpA,acs,0.20573060906904286
ucpA,cysK,0.28379089719319306
ucpA,kefC,0.21681888633747876
ucpA,yafV,0.1943767995366146
ucpA,frmA,0.2613150177113582
ucpA,rutC,0.19213334248041122
ucpA,ygfT,0.24642022919119924
ucpA,glpA,0.20801674087181998
ucpA,ugpQ,0.20311647825364576
ucpA,waaH,0.1489020051459138
ucpA,mutT,0.20933957370494244
ucpA,yafE,0.15228156139954527
ucpA,pabB,0.1519073409569272
ucpA,dgoD,0.16547004399862456
ucpA,nemA,0.21163975300166038
ucpA,ppsA,0.1612665274521238
ucpA,yfdH,0.11265941882941126
ucpA,accC,0.19344526280358132
ucpA,ydiQ,0.2453540472402987
ucpA,lpd,0.2505763766683461
ucpA,citE,0.12178783789570356
ucpA,thiF,0.1639223406720224
ucpA,ycgM,0.13477573405655133
ucpA,dadA,0.09434786838728833
ucpA,paaJ,0.2866182792963081
ucpA,bcp,0.0865358310415367
ucpA,sseA,0.1352880287278158
ucpA,norW,0.2627255073620162
ucpA,gcvH,0.2514930646070721
ucpA,ghrB,0.1353711077497056
ucpA,mog,0.1803581348622378
ucpA,yrdA,0.20099496530610003
ucpA,ydiR,0.20400485381989347
ucpA,map,0.14543860811900808
ucpA,ybdL,0.14925813798996618
ucpA,tatE,0.21833175922222578
ucpA,galE,0.12794094863657815
ucpA,cysU,0.15600311773696104
ucpA,moaA,0.15338258538908436
ucpA,fabH,0.10024077836271096
ucpA,hinT,0.2088574666201722
ucpA,ribB,0.12701448378633295
ucpA,aspA,0.23265536802040448
ucpA,aroE,0.216130518334049
ucpA,nuoN,0.06537341099719485
ucpA,glpK,0.15560511157385432
ucpA,tufA,0.1605200150409444
ucpA,ggt,0.13796874355162816
ucpA,rbsK,0.11740666737741556
ucpA,dinB,0.05296499362685592
ucpA,argI,0.10877460008922517
ucpA,cyoB,0.1215060687511926
ucpA,frdA,0.10547534967229844
ucpA,moaE,0.11309052289352141
ucpA,moeA,0.07057506772972287
ucpA,cobB,0.13131262944447483
ucpA,purB,0.09681897272593012
ucpA,tsaC,0.0934304973285937
ucpA,sodB,0.21003893579271546
ucpA,xthA,0.13381069280522517
ucpA,yqeF,0.28139947829117923
ucpA,usg,0.03834105163190715
ucpA,glyA,0.15729898723605792
ucpA,nrdE,0.09727827393796436
ucpA,tdcB,0.12325825888878895
ucpA,fusA,0.13612450370788184
ucpA,cysG,0.03836388210517756
ucpA,ilvI,0.11931344445996585
ucpA,qorA,0.216235257685704
ucpA,aidB,0.13621809868082943
ucpA,thrA,0.0602427116759148
ucpA,ispU,0.10110903970232601
ucpA,dxs,0.07582356812542802
ucpA,umpH,0.03355877687717048
ucpA,moaC,0.09453261385038857
ucpA,pepN,0.044258273882336566
ucpA,tmk,-0.010091011626699753
ucpA,ogt,-0.02638592902308807
ucpA,astC,0.09670150750328524
ucpA,htpX,0.05521026801665681
ucpA,rffH,0.11869761924303918
ucpA,rffG,0.09220311667665859
ucpA,hyfD,0.05535269614956099
ucpA,hyfH,0.062194571751722036
ucpA,nudF,0.09753297495396712
ucpA,gpp,0.028435426139369294
ucpA,alaS,0.04259385642106235
ucpA,infB,0.03682248592517028
ucpA,rsmB,0.01739723526562776
ucpA,trpS,0.04649604336563141
ucpA,glgX,0.14016492082863224
ucpA,xylB,0.09225793505738603
ucpA,yidA,0.05885191704899923
ucpA,metB,0.05220737891672898
ucpA,aceA,0.08552122739611108
ucpA,yjjG,0.020730786155794705
ucpA,ubiE,-0.0077432307898602365
ucpA,rsmA,0.044854634688925206
ucpA,leuD,0.053975567049764375
ucpA,leuC,0.031254592219692484
ucpA,dmlA,0.09301580251100272
ucpA,speE,0.016225117458954295
ucpA,panB,0.0985130356590658
ucpA,folK,0.037881179802607134
ucpA,pgaC,0.11811275613832996
ucpA,sbcD,0.04323290404723897
ucpA,cyoE,0.049695569530781025
ucpA,cyoA,0.06869877235758433
ucpA,dnaX,-0.11113410254911164
ucpA,qmcA,0.09310129350750945
ucpA,fur,-0.061860090984767926
ucpA,trxB,0.06010949288231812
ucpA,rpsA,0.08300210436372883
ucpA,ndh,0.030831072509100194
ucpA,ychF,-0.03391730847093585
ucpA,trpA,0.07520779896285369
ucpA,topA,0.025028403166062113
ucpA,puuE,0.06228868003018022
ucpA,nth,-0.03643071675382549
ucpA,tyrS,0.0063888011961678445
ucpA,pykF,-0.013503869023753947
ucpA,yeaO,0.05669489944707975
ucpA,hisH,0.05440106904542288
ucpA,dcd,-0.002427284641100121
ucpA,thiD,-0.01795879196673173
ucpA,folE,0.07985626916487337
ucpA,nuoH,-1.4186823381489212e-05
ucpA,nuoC,0.023733905177673043
ucpA,nuoB,-0.0034881890601932476
ucpA,purF,0.030055375586248434
ucpA,guaA,-0.040635894101834505
ucpA,era,0.008344446993216806
ucpA,cysI,0.031667858179922376
ucpA,eno,0.052312268557276644
ucpA,gcvP,0.21404821990198622
ucpA,gcvT,0.2500462166272725
ucpA,tsaD,0.009546918662505285
ucpA,ftsH,0.04932581533292541
ucpA,gltB,0.07282540343469303
ucpA,rtcB,0.033356570240292066
ucpA,glmS,-0.01526547237230001
ucpA,fdhD,0.010709698080561537
ucpA,tpiA,0.019754652797532142
ucpA,radA,-0.02636241737152937
ucpA,glpG,0.016370281804516558
ucpA,ilvD,0.043546428602398296
ucpA,ysgA,0.05853829889641352
ucpA,ileS,-0.03733515455677116
ucpA,carA,-0.02698571529976317
ucpA,carB,-0.029942658284433075
ucpA,nadC,-0.07011217507039888
ucpA,hemL,-0.049189389614873576
ucpA,rpsB,0.0007316251311383928
ucpA,pyrH,-0.01783138240534835
ucpA,rnhB,-0.022873599786576854
ucpA,proS,-0.08973920305014713
ucpA,prpD,0.03949424323770781
ucpA,hemB,-0.030214290625435004
ucpA,ribD,-0.031037968385927053
ucpA,ribE,-0.02504003483437994
ucpA,amtB,0.0032819788921862867
ucpA,apt,-0.08902659158458358
ucpA,adk,-0.03629712495629961
ucpA,purK,-0.024968592377551745
ucpA,purE,-0.014830649109224625
ucpA,cysS,-0.08138810734233014
ucpA,lipA,-0.045050128128760185
ucpA,miaB,-0.0679387607215301
ucpA,sucC,0.05832874898939961
ucpA,sucD,0.04093633797533328
ucpA,nadA,0.013040268291816261
ucpA,rarA,-0.021349671832323697
ucpA,serS,-0.09752271945379314
ucpA,yccX,0.030888494127538097
ucpA,rutF,0.06799194755746683
ucpA,ymdB,0.009225114516882602
ucpA,prs,-0.058165959229421006
ucpA,hemA,-0.10667491727672926
ucpA,trpB,0.026596606141910197
ucpA,trpC,-0.011994532747593422
ucpA,trpD,0.02899757381294123
ucpA,acnA,-0.017665305101220444
ucpA,pheT,0.029077379884445937
ucpA,pheS,-0.03872178242851976
ucpA,thrS,0.02248517902380412
ucpA,nadE,-0.0687917550967607
ucpA,yoaA,-0.02988290939054852
ucpA,argS,-0.04882218908872112
ucpA,hisG,0.02765786685621698
ucpA,hisD,0.017589475923242576
ucpA,hisB,0.021468833014210285
ucpA,hisF,0.02387407121869607
ucpA,hisI,0.02961480309895505
ucpA,rfbC,0.07381602020950678
ucpA,mrp,-0.0663465492839487
ucpA,metG,-0.09405826266927424
ucpA,yfcH,-0.047482250082629386
ucpA,aroC,-0.012517789834499452
ucpA,purC,0.0038832550347571524
ucpA,upp,-0.03602189637062579
ucpA,purM,0.01632316024625634
ucpA,hisS,-0.06403065791977418
ucpA,ndk,-0.025661866580272162
ucpA,suhB,-0.011321180717107313
ucpA,nadB,0.0174145878157873
ucpA,pheA,-0.010888472923486003
ucpA,ffh,-0.05734289324170637
ucpA,cysD,0.026452842798609086
ucpA,cysH,-0.010093621185823893
ucpA,pyrG,-0.0920401800644629
ucpA,fau,-0.010136974176352214
ucpA,pgk,-0.0040410819171807395
ucpA,rdgB,-0.04879959087029423
ucpA,truB,0.02738869052695393
ucpA,nusA,0.06498934475198619
ucpA,argG,0.009776781205600393
ucpA,glmM,-0.016209841310510845
ucpA,rpsI,-0.04788366003600565
