Source,Target,Weight
phoB,phoU,0.8754755314354755
phoB,pstA,0.855359170078452
phoB,pstC,0.8634241025025876
phoB,pstS,0.9081626887542076
phoB,pstB,0.8128751649008891
phoB,phnD,0.15703321423801928
phoB,phnC,0.176456302809259
phoB,b4583,0.0508246349689771
phoU,pstA,0.9970284397867076
phoU,pstC,0.9986872226738509
phoU,pstS,0.9945683141587766
phoU,pstB,0.9869082795591402
phoU,phnD,0.21060273787922085
phoU,phnC,0.22389641838833566
phoU,b4583,0.13707230821149985
pstA,pstC,0.9996245899171919
pstA,pstS,0.9920316382385923
pstA,pstB,0.9960604346821018
pstA,phnD,0.19102694067432166
pstA,phnC,0.20408439103910925
pstA,b4583,0.11893188539492161
pstC,pstS,0.9940369710606695
pstC,pstB,0.9934451673843984
pstC,phnD,0.19089437641204726
pstC,phnC,0.2040686774443836
pstC,b4583,0.11816912156034212
pstS,pstB,0.9786393921166754
pstS,phnD,0.14340957674517502
pstS,phnC,0.1581693867550022
pstS,b4583,0.06250479087244866
pstB,phnD,0.18491777816873273
pstB,phnC,0.19702025752540203
pstB,b4583,0.11803155497432015
phnD,phnC,0.9997655998446423
phnD,b4583,0.993135986992114
phnC,b4583,0.9903708324766477
