,imodulon_size,explained_variance
0,53.0,0.02697139939141735
1,26.0,0.004913935689239368
2,20.0,0.0019161002707823727
3,7.0,0.0020464536332212013
4,4.0,0.0026652776604425554
5,20.0,0.011060683921471082
6,140.0,0.01486728992408115
7,17.0,0.0038478427524749614
8,12.0,0.006959083891120543
9,104.0,0.016532767006082527
10,2.0,0.001284155155966804
11,18.0,0.002150717143118208
12,20.0,0.002381384507526896
13,23.0,0.009528075584419593
14,265.0,0.012334418340027575
15,6.0,0.0006114686043163786
16,25.0,0.011935652180459999
17,186.0,0.005294672888981222
18,27.0,0.004013654043808823
19,6.0,0.0033095251250080393
20,52.0,0.11745711931474256
21,198.0,0.013111405618838945
22,4.0,0.0007933101700581258
23,37.0,0.01565802048469489
24,23.0,0.031661544937251596
25,423.0,0.006065442358300532
26,6.0,0.0032110121388719826
27,18.0,0.00141561183049832
28,49.0,0.004600770280882238
29,7.0,0.0037456722482877014
30,15.0,0.011486925838980588
31,86.0,0.007199953837753514
32,6.0,0.0029540453816399026
33,22.0,0.01246027450177667
34,21.0,0.005319539354147085
35,83.0,0.015610369119675616
36,20.0,0.0016163739669773358
37,5.0,0.0035471085815355075
38,16.0,0.01412540617715341
39,25.0,0.005875748599915798
40,5.0,0.003678163531722456
41,16.0,0.007520405402168473
42,4.0,0.0015988977648853098
43,2.0,0.00043853195500243025
44,134.0,0.002714182817805111
45,87.0,0.005066049191190691
46,14.0,0.00828343949817223
47,2.0,0.001221731593944786
48,35.0,0.007249960282629031
49,14.0,0.01056127615026703
50,7.0,0.005210021915926344
51,162.0,0.013213687918495753
52,5.0,0.0030214874294685057
53,17.0,0.008479318068587705
54,10.0,0.013227613969442165
55,92.0,0.03514750218592577
56,32.0,0.027157871728673122
57,65.0,0.004936859567847063
58,124.0,0.007555174993344682
59,14.0,0.004241018673293961
60,79.0,0.004107386881872621
61,98.0,0.048906954782896084
62,13.0,0.0019135436451720444
63,34.0,0.008391234293056882
64,41.0,0.022489092549617173
65,6.0,0.009915573702384606
66,19.0,0.0021751686573994178
67,61.0,0.0010440409363724479
68,86.0,0.006262800730963525
69,86.0,0.02240126512964602
70,20.0,0.004937849271743122
71,110.0,0.024072301607138358
72,46.0,0.008810609605470865
73,134.0,0.0034389061906665574
74,27.0,0.0049611190676720485
75,89.0,0.029237193553583785
76,119.0,0.003165189467157825
77,93.0,0.00259756552738466
